09001,4.400
09002,4.250
09003,4.150
09004,3.800
09005,3.675
09006,3.675
09007,3.450
09008,3.200
09009,2.750
09010,2.500
09011,2.200
09012,2.200
09101,2.000
09102,2.000
09103,2.000
09104,2.100
09105,2.100
09106,2.100
09107,1.800
09108,1.800
09109,1.800
09110,1.800
09111,1.550
09112,1.550
09201,1.200
09202,1.200
09203,1.200
09204,1.200
09205,1.200
09206,1.200
09207,1.075
09208,1.075
09209,1.075
09210,1.075
09211,1.075
09212,1.075
09301,1.075
09302,1.075
09303,1.075
09304,1.075
09305,1.075
09306,1.075
09307,1.075
09308,1.075
09309,1.075
09310,1.150
09311,1.150
09312,1.150
09401,1.215
09402,1.215
09403,1.285
09404,1.285
09405,1.285
09406,1.285
09407,1.355
09408,1.355
09409,1.425
09410,1.425
09411,1.425
09412,1.495
09501,1.495
09502,1.495
09503,1.495
09504,1.565
09505,1.565
09506,1.565
09507,1.635
09508,1.635
09509,1.635
09510,1.705
09511,1.705
09512,1.705
09601,1.735
09602,1.735
09603,1.735
09604,1.765
09605,1.765
09606,1.965
09607,1.965
09608,1.965
09609,2.025
09610,2.025
09611,2.025
09612,2.085
09701,2.085
09702,2.085
09703,2.085
09704,2.135
09705,2.135
09706,2.195
09707,2.195
09708,2.195
09709,2.145
09710,1.905
09711,1.655
09712,0.945
09801,0.495
09802,0.445
09803,0.445
09804,0.445
09805,0.445
09806,0.445
09807,0.445
09808,0.445
09809,0.445
09810,0.580
09811,0.580
09812,0.580
09901,0.580
09902,0.580
09903,0.580
09904,0.580
09905,0.580
09906,0.650
09907,0.650
09908,0.650
09909,0.650
09910,0.700
09911,0.700
09912,0.700
10001,0.750
10002,0.750
10003,0.750
10004,0.820
10005,0.820
10006,0.820
10007,0.880
10008,0.880
10009,0.880
10010,0.880
10011,0.880
10012,0.880
10101,0.880
10102,0.880
10103,0.880
10104,0.880
10105,0.880
10106,0.880
10107,0.880
10108,0.880
10109,0.880
10110,0.880
10111,0.880
10112,0.880
10201,0.880
10202,0.880
10203,0.880
10204,0.880
10205,0.880
10206,0.880
10207,0.880
10208,0.880
10209,0.880
10210,0.880
10211,0.880
10212,0.880
10301,0.880
10302,0.880
10303,0.880
10304,0.880
10305,0.880
10306,0.880
10307,0.880
10308,0.880
10309,0.880
10310,0.880
10311,0.880
10312,0.880
10401,0.880
10402,0.880
10403,0.880
10404,0.880
10405,0.880
10406,0.880
10407,0.880
10408,0.880
10409,0.810
10410,0.810
10411,0.810
10412,0.740
10501,0.740
10502,0.740
10503,0.670
10504,0.670
10505,0.670
10506,0.670
10507,0.600
10508,0.600
10509,0.600
10510,0.600
10511,0.600
10512,0.600
10601,0.600
10602,0.600
10603,0.600
10604,0.600
10605,0.600
10606,0.600
10607,0.600
10608,0.600
10609,0.600
10610,0.600
10611,0.600
10612,0.600
10701,0.600
10702,0.600
10703,0.600
10704,0.600
10705,0.600
10706,0.600
10707,0.600
10708,0.600
10709,0.600
10710,0.600
10711,0.600
10712,0.600
10801,0.600
10802,0.600
10803,0.600
10804,0.600
10805,0.600
10806,0.600
10807,0.600
10808,0.600
10809,0.600
10810,0.600
10811,0.600
10812,0.600
10901,0.600
10902,0.600
10903,0.350
10904,0.350
10905,0.350
10906,0.350
10907,0.350
10908,0.350
10909,0.350
10910,0.350
10911,0.350
10912,0.350
11001,0.350
11002,0.350
11003,0.350
11004,0.350
11005,0.350
11006,0.350
